,X,Label,Area,Major,Minor,ratio,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,id,side,batch,cam.id,species,sex
124,205,CAM046271_d.JPG,104.898,17.851,7.482,2.385859396,18.464,0.533,19.093,225,1261,22.312,8.173,2.386,0.419,0.963,942,892,CAM046271,right,input1,CAM046271,zea,female
5,11,CAM046280_d.JPG,93.636,16.615,7.175,2.315679443,16.724,0.537,17.99,259,1218,21.427,8.073,2.316,0.432,0.959,942,879,CAM046280,right,input1,CAM046280,zea,female
28,52,CAM046280_d.JPG,93.98,16.739,7.148,2.341773923,17.216,0.544,17.824,245,1193,19.611,7.947,2.342,0.427,0.964,921,880,CAM046280,right,input1,CAM046280,zea,female
75,123,CAM046306_d.JPG,100.384,17.371,7.358,2.360831748,17.956,0.533,18.908,394,1004,22.686,8.285,2.361,0.424,0.971,1117,641,CAM046306,right,input1,CAM046306,zea,female
150,19,CAM046307_d.JPG,76.81,15.48,6.318,2.45014245,170.304,0.493,16.744,1263,1115,165.964,7.024,2.45,0.408,0.96,1333,1078,CAM046307,left,input2,CAM046307,zea,female
16,32,CAM046321_d.JPG,107.759,17.742,7.733,2.294323031,7.414,0.489,19.207,321,1046,12.741,8.419,2.294,0.436,0.951,1100,810,CAM046321,right,input1,CAM046321,zea,female
39,73,CAM046321_d.JPG,109.298,17.936,7.759,2.311638098,7.419,0.499,19.433,307,1110,16.582,8.465,2.312,0.433,0.939,1072,812,CAM046321,right,input1,CAM046321,zea,female
69,115,CAM046322_d.JPG,105.297,17.72,7.566,2.342056569,4.431,0.573,18.653,327,1050,8.007,8.321,2.342,0.427,0.966,1026,882,CAM046322,right,input1,CAM046322,zea,female
22,40,CAM046323_d.JPG,102.284,17.46,7.459,2.340796353,20.406,0.318,20.106,321,1232,23.419,8.41,2.341,0.427,0.919,1086,841,CAM046323,right,input1,CAM046323,zea,male
45,81,CAM046323_d.JPG,108.922,18.011,7.7,2.339090909,19.878,0.554,19.825,310,1235,22.809,8.474,2.339,0.428,0.97,1066,843,CAM046323,right,input1,CAM046323,zea,male
153,23,CAM046326_d.JPG,87.771,16.162,6.915,2.337237889,175.449,0.568,17.265,1055,1086,170.538,7.61,2.337,0.428,0.969,1133,1042,CAM046326,left,input2,CAM046326,zea,male
4,10,CAM046327_d.JPG,93.166,16.71,7.099,2.353852655,175.608,0.472,17.993,403,1122,0.695,7.686,2.354,0.425,0.954,933,1034,CAM046327,right,input1,CAM046327,zea,male
27,51,CAM046327_d.JPG,93.982,16.807,7.12,2.360533708,176.604,0.568,17.993,394,1109,179.235,7.729,2.361,0.424,0.968,929,1035,CAM046327,right,input1,CAM046327,zea,male
101,168,CAM046328_d.JPG,113.823,18.036,8.035,2.244679527,12.102,0.552,19.879,179,1154,17.778,8.773,2.245,0.445,0.96,957,850,CAM046328,right,input1,CAM046328,zea,female
126,207,CAM046329_d.JPG,116.721,18.787,7.91,2.375094817,9.193,0.56,19.996,249,1210,14.416,8.648,2.375,0.421,0.97,1056,946,CAM046329,right,input1,CAM046329,zea,female
