filename,wing,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,efd_0,efd_1,efd_2,efd_3,efd_4,efd_5,efd_6,efd_7,efd_8,efd_9,efd_10,efd_11,efd_12,efd_13,efd_14,efd_15,efd_16,efd_17,efd_18,efd_19,efd_20,efd_21,efd_22,efd_23,efd_24,colour_0_r,colour_0_g,colour_0_b,colour_1_r,colour_1_g,colour_1_b,colour_2_r,colour_2_g,colour_2_b,colour_3_r,colour_3_g,colour_3_b,percentage_0,percentage_1,percentage_2,percentage_3,species
CAM046142_d.jpg,1,81.657,15.742,6.605,12.738,0.448,17.164,67,639,15.757,7.285,2.383,0.42,0.96,-0.454715563,-0.084273179,0.049207638,-0.052266457,-0.061299131,0.040191226,0.017556313,0.013972255,-0.034832944,-0.045627422,0.036957649,0.01056217,0.028365326,0.00427104,0.008498223,0.024740311,-0.00119834,-0.014909603,0.00969404,-0.000432624,-4.82E-05,-0.00031077,-0.00938542,-0.003366964,0.00226389,170.470966,141.0946997,88.27089363,209.577034,183.2163533,131.2278044,195.2910627,166.6728324,112.1123698,221.8607321,196.6863789,148.1114913,0.066425704,0.412159059,0.227930169,0.293485068,1
CAM046144_d.jpg,1,103.045,18.838,6.965,9.554,0.316,19.507,310,544,14.546,8.535,2.705,0.37,0.771,-0.347782554,0.043802549,-0.01026476,-0.118764263,-0.106833022,-0.018385961,0.041504534,0.034394954,-0.070479701,0.017112016,0.009942036,0.014166852,0.00606625,-0.015054844,0.024915856,-0.006480637,0.007320353,0.005893598,0.004370548,0.037047848,-0.020367087,-0.008532228,-0.004989635,-0.014435581,0.032514047,212.3894504,193.711574,147.2862928,199.2037463,176.083239,125.4770589,231.5880402,213.2412649,167.8143308,176.2790347,149.8450075,95.2705279,0.457602301,0.296127598,0.158995947,0.087274153,1
CAM046145_d.jpg,1,114.711,20.143,7.251,8.649,0.421,21.434,224,440,15.667,8.64,2.778,0.36,0.884,-0.375477662,-0.034447623,0.03280494,-0.053887624,-0.105382415,0.046776221,0.008062587,-0.006524227,-0.062174709,-0.019978498,0.030526234,0.008790608,0.009141921,0.004868906,0.006060698,0.00131842,-0.010261649,-0.010763932,0.010599949,0.024434011,0.015030572,-0.000326734,-0.000426653,-0.007319897,-0.008279528,205.380082,170.3048038,109.4959532,218.7164878,188.2901248,132.2697613,189.8252982,152.0848356,89.7929629,164.0866707,124.6967523,68.26753337,0.412901805,0.195647574,0.304410729,0.087039892,1
CAM046146_d.jpg,1,90.676,16.22,7.118,29.971,0.408,18.017,151,629,28.847,7.983,2.279,0.439,0.908,-0.473072301,-0.124260371,0.105228197,-0.05837665,-0.027712203,0.020368606,0.048295376,0.006623604,-0.005204206,-0.023449761,0.067594028,0.027445333,0.053855505,0.013675662,0.002495117,0.021410949,0.007137246,0.010142032,0.016037821,0.010449316,0.016193511,0.013494392,-0.023643887,0.000943146,-0.000263569,225.6780089,208.7014988,164.8472341,196.0719545,173.2180083,124.4332642,165.4851421,138.5981912,90.25645995,212.4199559,194.4425678,148.3480018,0.353631888,0.180411841,0.0498284,0.416127871,1
CAM046147_d.jpg,1,92.787,16.614,7.111,3.815,0.528,18.05,142,538,7.245,7.678,2.336,0.428,0.975,-0.457782319,-0.051688331,0.033263896,-0.05629234,-0.079929418,0.052910422,0.007845939,0.004032846,-0.037995569,-0.033193274,0.028774081,0.007647959,0.011806601,0.000451142,0.005983962,0.0169328,0.002737396,-0.017773028,0.015875358,0.009272207,0.003612761,-0.003055638,-0.001461027,0.005382186,0.003395538,212.7743681,184.4479746,129.3083325,227.7183432,201.2669798,150.2480717,159.2060403,125.3008237,72.29413871,195.5038841,164.7770809,107.1072373,0.442093768,0.257959005,0.043978954,0.255968274,1
CAM046148_d.jpg,1,101.953,17.816,7.286,16.024,0.487,19.699,222,549,19.611,8.153,2.445,0.409,0.959,-0.440186108,-0.063680285,0.043362357,-0.060125679,-0.083378957,0.060722061,0.018449268,0.000431225,-0.039279649,-0.029553375,0.027633686,0.005085269,0.008410306,0.008554017,0.002532286,0.018584119,0.000333519,-0.017706014,0.010147013,0.000812066,-0.002133553,0.000271625,-0.005208796,-0.002305221,0.000972873,201.5135485,171.7082502,117.5540752,154.740078,117.3222299,64.47694425,183.9435081,150.0888955,93.68409277,216.5263947,190.1949129,139.815577,0.402227044,0.103540857,0.255184911,0.239047188,1
CAM046270_d.jpg,1,94.085,16.634,7.202,9.263,0.506,17.752,88,552,9.347,7.853,2.31,0.433,0.967,-0.496740112,-0.067136653,0.071462656,-0.033905419,-0.062457985,0.053670406,0.021230327,0.016053113,-0.05078052,-0.030249248,0.034241359,0.005827009,0.02038597,-0.002971597,-0.000927245,0.017966147,-0.00690775,-0.012097148,0.015161113,0.003214213,0.005771085,-0.001147961,-0.009662259,0.001680773,-0.003228022,165.3964172,125.7619753,68.76550582,212.3324175,175.4392393,113.4048897,232.9779571,200.091168,140.6929718,191.9871757,154.5718004,93.45742299,0.119162566,0.408942496,0.174089425,0.297805513,1
CAM046271_d.jpg,1,100.758,17.515,7.325,18.427,0.511,18.889,132,752,22.326,8.01,2.391,0.418,0.969,-0.460383393,-0.062244098,0.032488029,-0.052625864,-0.087561114,0.056164593,0.020154587,0.002776321,-0.050849216,-0.029172885,0.031105847,0.002728069,0.007644647,0.00816638,0.005883761,0.016186224,-0.007338559,-0.011892013,0.013319804,0.002184616,0.000970276,0.002482544,-0.006066926,0.000752288,0.001163925,158.8816829,115.3880774,61.10944161,224.4890922,191.1195289,134.6282186,186.672406,146.3047874,87.46570939,207.3302442,169.2329633,109.2106643,0.136785486,0.210886645,0.298059668,0.354268202,1
CAM046280_d.jpg,1,89.897,16.391,6.983,17.14,0.521,17.637,152,687,19.905,7.727,2.347,0.426,0.968,-0.469025758,-0.053501192,0.041787407,-0.063825756,-0.073098307,0.056924988,0.014614081,-0.008256211,-0.045704551,-0.025741075,0.030086135,0.000624329,0.018321437,0.004631783,0.003997528,0.01480227,-0.005514355,-0.010724557,0.014980647,0.002058104,0.001724167,-0.000865778,-0.00539765,-0.001661734,-0.000754141,200.259195,169.3713875,114.4125916,160.7715359,126.0253805,73.49642222,182.3823845,149.9730883,95.49243768,217.2658662,188.5045231,136.5575211,0.326655709,0.136508866,0.307653501,0.229181923,1
CAM046306_d.jpg,1,96.742,17.108,7.2,17.977,0.541,18.733,300,495,22.737,7.798,2.376,0.421,0.974,-0.457061425,-0.031938007,0.033816251,-0.066753017,-0.088790297,0.063578949,0.008345051,-0.016083086,-0.051889079,-0.020130906,0.029284153,-0.001853891,0.003256565,0.008759955,0.004533948,0.010685467,-0.005108186,-0.012359102,0.019708727,0.008539977,-0.001163232,0.003493066,-0.001035054,0.00237041,-0.002580816,181.0276387,138.5320694,78.98458295,202.2319606,162.3874529,100.8905156,153.9275672,108.4888641,54.6930228,220.3180949,184.4553576,126.0445025,0.301988039,0.330976732,0.151713491,0.215321739,1
